course_title,price,num_subscribers,num_lectures,level,content_duration
Ultimate Investment Banking Course,200,2147,51,All Levels,1.5
Complete GST Course & Certification - Grow Your CA Practice,75,2792,274,All Levels,39.0
Financial Modeling for Business Analysts and Consultants,45,2174,51,Intermediate Level,2.5
Beginner to Pro - Financial Analysis in Excel 2017,95,2451,36,All Levels,3.0
How To Maximize Your Profits Trading Options,200,1276,26,Intermediate Level,2.0
Trading Penny Stocks: A Guide for All Levels In 2017,150,9221,25,All Levels,3.0
Investing And Trading For Beginners: Mastering Price Charts,65,1540,26,Beginner Level,1.0
"Trading Stock Chart Patterns For Immediate Explosive Gains",95,2917,23,All Levels,2.5
Options Trading 3 : Advanced Stock Profit and Success Method,195,5172,38,Expert Level,2.5
The Only Investment Strategy You Need For Your Retirement,200,827,15,All Levels,1.0
Forex Trading Secrets of the Pros With Amazon's AWS,200,4284,76,All Levels,5.0
Trading Options With Money Flow,200,1380,17,All Levels,1.0
Financial Management Risk and Return For Securities,30,3607,19,All Levels,1.5
Forex Trading Course: Work Smarter Not Harder Proven Results,195,4061,16,All Levels,2.0
Python Algo Trading: Sentiment Trading with News,200,294,42,All Levels,7.0
Short Selling: Learn To Sell Stocks Before The Fall,75,2276,19,Intermediate Level,1.5
Basic Technical Analysis: Learn the structure of the market,20,4919,16,Beginner Level,1.5
The Complete Chart Pattern Trading Course: A Proven Approach,200,2666,52,All Levels,4.0
7 Deadly Mistakes of Investing that Will Slash Your Profits!,50,5354,23,All Levels,1.5
Financial Statements Made Easy,95,8095,12,Beginner Level,0.5833333333333334
Winning Forex Trading with Live Forex Trading Examples,200,809,25,All Levels,2.0
Forex Traders - Create Your First Trading Robot. No Coding!,200,2295,39,All Levels,4.0
Create A Business From Home Trading Stocks Today In 2017,75,10149,16,All Levels,2.0
Introduction to Accounting : Mastering Financial Statements,50,1916,23,Beginner Level,1.0
The Complete Ethereum Course: Get .01 Ether In Your Wallet,45,2507,40,All Levels,2.0
