country,health,income,inflation,life_expectancy
Afghanistan,7.58,1610,9.44,56.2
Albania,6.55,9930,4.49,76.3
Algeria,4.17,12900,16.1,76.5
Angola,2.85,5900,22.4,60.1
Antigua and Barbuda,6.03,19100,1.44,76.8
Argentina,8.1,18700,20.9,75.8
Armenia,4.4,6700,7.77,73.3
Australia,8.73,41400,1.16,82
Austria,11,43200,0.873,80.5
Azerbaijan,5.88,16000,13.8,69.1
Bahamas,7.89,22900,-0.393,73.8
Bahrain,4.97,41100,7.44,76
Bangladesh,3.52,2440,7.14,70.4
Barbados,7.97,15300,0.321,76.7
Belarus,5.61,16200,15.1,70.4
Belgium,10.7,41100,1.88,80
Belize,5.2,7880,1.14,71.4
Benin,4.1,1820,0.885,61.8
Bhutan,5.2,6420,5.99,72.1
